Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Filter - units,   01-POF8154,POF-8154 (units),"2,83","3,5375",,,,,
Filters,   R85394MP,"Carquest 2007 Toyota Corolla, 1.8L  L4 Oil Filter","2,18","2,725",,,,,
Filters,   R84356MP,"Carquest 2010 Honda Accord, 2.4L  L4  Oil Filter","2,18","2,725",,,,,
Filters,   R85358MP,"Carquest 2008 Nissan Maxima, 3.5L V6  Oil Filter","2,18","2,725",,,,,
Filters,   R84060MP,"Carquest 2008 Chevrolet Silverado 1500, 5.3 L V8 Oil Filter","2,18","2,725",,,,,
Filters,   R85372MP,"Carquest 2006 Ford F-150, 5.4L V8 Oil Filter","2,18","2,725",,,,,
Filters,   R84502MP,"Carquest 2006 Ford F-150, 5.4 L V8 Oil Filter","2,18","2,725",,,,,
Filters,   51334,Napa Gold 1334 Oil Filter,"3,5","4,375",,,,,
Filters,   51356,Napa Gold 1356 Oil Filter,"3,99","4,9875",,,,,
Filters,   51215,Napa Gold 51215,"3,31","4,1375",,,,,
Filters,   51372,Napa Gold 1372 Oil Filter,"3,74","4,675",,,,,
Filters,   51068,Napa Gold 1068 Oil Filter,"4,63","5,7875",,,,,
Filters,   51792,Napa Gold 1792 Oil Filter,"9,5","11,875",,,,,
Filters,   57744XD,Napa Gold 7744XD Oil Filter,"33,9","42,375",,,,,
Filters,   LFF8059,FUEL FLTR/WTR SEAPARATOR,"11,02","13,775",,,,,
Filters,   LFP-219F,FUEL FILTER,"6,29","7,8625",,,,,
Filters,   LFP8642,FILTER,"14,07","17,5875",,,,,
Filters,   LFP3191,LUBERFINER OIL/HYD FILTER,"6,2","7,75",,,,,
Filters,   LFF1000,LUBERFINER OIL/HYD FILTER,10,"12,5",,,,,
Filters,   L5104F,FUEL FILTER,"58,07","72,5875",,,,,
Filters,   L7694F,FILTER,22,"27,5",,,,,
Filters,   LFP-431F,FUEL FILTERS,8,10,,,,,
Filters,   LAF6116,P61056,91,"113,75",,,,,
Full Synthetic Motor Oils,   01-FSMO-01,"SAE 0W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Full Synthetic Motor Oils,   01-FSMO-02,"SAE 5W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Full Synthetic Motor Oils,   01-FSMO-03,"SAE 5W-30 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Full Synthetic Motor Oils,   01-FSMO-04,"SAE 10W-30 Full Synthetic Motor Oil, API SN Plus ILSAC GF-5 (5 gal Pail)","31,5",42,,,,,
Full Synthetic Motor Oils,   02-FSMO-01,"SAE 0W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (55 gal Drum)","295,5","369,375",,,,,
Full Synthetic Motor Oils,   02-FSMO-04,"SAE 10W-30 Full Synthetic Motor Oil, API SN Plus ILSAC GF-5 (55 gal Drum)","295,5","369,375",,,,,
Full Synthetic Motor Oils,   02-FSMO-02,"SAE 5W-20 Full Synthetic Motor Oil, API SN Plus ILSAC GF-5 (55 gal Drum)","295,5","369,375",,,,,
Full Synthetic Motor Oils,   02-FSMO-03,"SAE 5W-30 Full Synthetic Motor Oil, API SN Plus ILSAC GF-5 (55 gal Drum)","295,5","369,375",,,,,
Full Synthetic Motor Oils,   00-fsmo-01,"SAE 0W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Full Synthetic Motor Oils,   00-fsmo-02,"SAE 5W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Full Synthetic Motor Oils,   00-fsmo-03,"SAE 5W-30 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Full Synthetic Motor Oils,   00-fsmo-04,"SAE 10W-30 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","4,5","5,625",,,,,
Full Synthetic Motor Oils,   00-fsmo-05,"SAE 10W-40 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (Bulk)","5,6",7,,,,,
Full Synthetic Motor Oils,   05-FSMO-01,"SAE 0W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (3 x 5qt)",25,"33,33333333",,,,,
Full Synthetic Motor Oils,   05-FSMO-02,"SAE 5W-20 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (3 x 5qt)",25,"33,33333333",,,,,
Full Synthetic Motor Oils,   05-FSMO-03,"SAE 5W-30 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (3 x 5qt)",25,"33,33333333",,,,,
Full Synthetic Motor Oils,   05-FSMO-04,"SAE 10W-30 Full Synthetic Motor Oil, API SN Plus, ILSAC GF-5 (3 x 5qt)",25,"33,33333333",,,,,
Gear Oils,   01-GO-01,"SAE 80W-90 Gear Oil, API GL-5 (5 gal Pail)","33,6","44,8",,,,,
Gear Oils,   01-GO-02,"SAE 85W-140 Gear Oil, API GL-5 (5 gal Pail)","39,35","52,46666667",,,,,
Gear Oils,   01-GO-03,"SAE 75W-90 Synthetic Gear Oil, API GL-5 (5 gal Pail)","33,6","44,8",,,,,
Gear Oils,   01-GO-04,"SAE 80W-140 Synthetic Gear Oil, API GL-5 (5 gal Pail)","39,35","52,46666667",,,,,
Gear Oils,   01-GO-05,"SAE 75W-140 Synthetic Gear Oil, API GL-5 (5 gal Pail)","39,35","52,46666667",,,,,
Gear Oils,   02-GO-04,"SAE 80W-140 Synthetic Gear Oil, API GL-5 (55 gal Drum)",381,"476,25",,,,,
Gear Oils,   02-GO-01,"SAE 80W-90 Gear Oil, API GL-5 (55 gal)","318,7","398,375",,,,,
Gear Oils,   02-GO-03,"SAE 75W-90 Synthetic Gear Oil, API GL-5 (55 gal)","318,7","398,375",,,,,
Gear Oils,   02-GO-02,"SAE 85W-140 Gear Oil, API GL-5 (55 gal)",381,"476,25",,,,,
Heavy Duty Motor Oils,   00-HDMO-01,"SAE 10W-30 Synthetic Blend HDMO, API CK4/SN (Bulk)","4,5","5,625",,,,,
Heavy Duty Motor Oils,   00-HDMO-03,SAE 20W-50 Synthetic Blend HDMO API CJ-4/SN (Bulk),"5,12","6,4",,,,,
